id,pt,en
BTN_JOGAR,Jogar,Play
BTN_EXTRA,Extras,Extras
BTN_OPTION,Opções,Options
BTN_CREDITOS,Créditos,Credits
BTN_EXIT,Sair,Exit
BTN_RETURN,Voltar,Back
BTN_RESET_CONFIG,Restaurar,Restore Defaults
BTN_SALVE_EXIT,Salvar,Save
BTN_RESET_CONFIG_ALL,Restaurar todos os padrões,Restore All Defaults
BTN_SALVE_ALL,Salvar Tudo,Save All
BTN_EXCLUIR,Excluir,Delete
KEY_TITLE_FULLSCREEN,Tela Cheia,Fullscreen
KEY_TITLE_INTERFACE_SCALE,Escala da interface,Interface Scale
KEY_AUDIO_GERAL,Geral,Master
KEY_AUDIO_MUSIC,Música,Music
KEY_AUDIO_SFX,Efeito,Effects
KEY_METODO_IMPUT_TITLE,Controles,Controls
KEY_ACTION_INTERACTION,Interação,Interact
KEY_ACTION_ACTION2,Ação,Action
KEY_ACTION_PAUSE,Pausar,Pause
KEY_ACTION_POVUP,Subir 'POV' da camera,Upload camera 'POV'
KEY_ACTION_POVDOWN,Descer 'POV' da camera,Lower the camera 'POV'
KEY_ACTION_MODEMOVE,Abaixar / Levantar,Lower / Raise
KEY_ACTION_RUN,Correr,Run
KEY_ACTION_INVENTORY,Inventário,Inventory
KEY_ACTION_SPACE,Spaço,Space
KEY_ACTION_MOVE_UP,Mover Frente,Move Forward
KEY_ACTION_MOVE_DOWN,Mover Traz,Move Backward
KEY_ACTION_MOVELEFT,Mover Esquerda,Move Left
KEY_ACTION_MOVERIGHT,Mover Direita,Move Right
BTN_ENTRAR_PANEL,Entrar,Open
TITLE_CREATE_CHARACTER,Customização de personagem,Custon Character
TITLE_SCENE_TUTORIAL,Tutorial e Treinamento,Tutorial and Training
TITLE_PROCEDURAL_TRANING,Cenarios Aleatórios,Random Scenarios
TITLE_MOD_BASE,Em desenvolvimento,Under development
TITLE_LVL_USER,Level,Level
TITLE_PROGRESSO_USER,Progresso,Progress
TITLE_TIME_USER,Tempo de Jogo,Game Time
TITLE_MONEY_USER,Dinheiro,Money
TITLE_COLOR,Edite Cores,Edit Colors
TITLE_CHOTH,Guarda Roupa,Closet
TITLE_SHAPER,Formato do Corpo,Body Shape
MS_NEW_KEY,Nova tecla para ,New key for 
MS_KEY_USED,Tecla já utilizada pela ação: ,Key already used by the action: 
MS_KEY_WITHOUT_ICON,Tecla não mapeada,Unmapped key
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
KEY_TAB_GAME,Jogo,Game
KEY_TAB_GRAPHIC,Gráficos,Graphics
KEY_TAB_AUDIO,Áudio,Audio
KEY_TAB_INPUT,Controle,Input
,,
,,
,,
,,
,,
,,
,,
,,
,,
KEY_IDIOMA_BR,Portugues,Portuguese
KEY_IDIOMA_EN,Inglês,English
BTN_CANCELAR,Cancelar,Cancel
BTN_CONFIRMAR,Confirmar,Confirm
BTN_CONTINUAR_EDITANDO,Continuar editando,Keep editing
